Importance,Level,Job Zone,Code,Occupation,OccupationCategory
72,68,3,39-5091.00,"Makeup Artists, Theatrical and Performance",[Seni & Kreatif] Make Up Artist
72,55,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",[Teknik] Teknik Elektro
72,54,1-2,51-7021.00,Furniture Finishers,[Teknik] Teknik Industri
69,75,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",[Seni & Kreatif] Desain Grafis
69,57,4,27-1011.00,Art Directors,[Seni & Kreatif] Desain Grafis
69,57,4,27-1025.00,Interior Designers,[Seni & Kreatif] Seni Rupa
69,55,1-2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
69,55,1-2,51-6093.00,Upholsterers,[Teknik] Teknik Industri
69,54,3,29-9093.00,Surgical Assistants,[Kesehatan] Kedokteran
69,50,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",[Teknik] Teknik Elektro
69,46,3,27-1022.00,Fashion Designers,[Seni & Kreatif] Seni Rupa
66,57,3,43-9031.00,Desktop Publishers,[Seni & Kreatif] Desain Grafis
66,57,3,47-2111.00,Electricians,[Teknik] Teknik Elektro
66,57,1-2,27-1023.00,Floral Designers,[Seni & Kreatif] Seni Rupa
66,57,3,27-4021.00,Photographers,[Seni & Kreatif] Seni Rupa
66,57,4,27-1014.00,Special Effects Artists and Animators,[Seni & Kreatif] Multimedia / Film
66,55,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",[Teknik] Teknik Mesin
66,54,1-2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",[Teknik] Teknik Industri
66,54,3,49-9097.00,Signal and Track Switch Repairers,[Teknik] Teknik Elektro
66,50,1-2,51-9151.00,Photographic Process Workers and Processing Machine Operators,[Teknik] Teknik Industri
66,48,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",[Keselamatan & Transportasi] Penerbangan
66,45,1-2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",[Keselamatan & Transportasi] Transportasi / Logistik
63,54,1-2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",[Teknik] Teknik Mesin
63,52,3,17-3024.01,Robotics Technicians,[Teknik] Teknik Mesin
60,63,3,51-9071.06,Gem and Diamond Workers,[Teknik] Teknik Industri
60,54,3,49-3011.00,Aircraft Mechanics and Service Technicians,[Teknik] Teknik Mesin
60,54,5,29-2011.02,Cytotechnologists,[Kesehatan] Laboratorium
60,54,1-2,51-9123.00,"Painting, Coating, and Decorating Workers",[Teknik] Teknik Industri
60,52,3,27-4031.00,"Camera Operators, Television, Video, and Film",[Seni & Kreatif] Multimedia / Film
60,52,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,[Teknik] Teknik Mesin
60,52,1-2,49-9095.00,Manufactured Building and Mobile Home Installers,[Teknik] Teknik Mesin
60,52,4,29-2011.00,Medical and Clinical Laboratory Technologists,[Kesehatan] Laboratorium
60,50,3,19-4092.00,Forensic Science Technicians,[Kesehatan] Laboratorium
60,48,1-2,51-8099.01,Biofuels Processing Technicians,[Teknik] Teknik Industri
60,48,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",[Teknik] Teknik Elektro
60,48,1-2,53-5011.00,Sailors and Marine Oilers,[Keselamatan & Transportasi] Kelautan
56,55,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",[Teknik] Teknik Elektro
56,55,4,27-2012.05,Media Technical Directors/Managers,[Seni & Kreatif] Multimedia / Film
56,54,1-2,49-3021.00,Automotive Body and Related Repairers,[Teknik] Teknik Mesin
56,54,4,27-1021.00,Commercial and Industrial Designers,[Seni & Kreatif] Seni Rupa
56,54,4,27-1024.00,Graphic Designers,[Seni & Kreatif] Desain Grafis
56,52,3,49-2097.00,Audiovisual Equipment Installers and Repairers,[Seni & Kreatif] Multimedia / Film
56,52,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",[Teknik] Teknik Elektro
56,52,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",[Teknik] Teknik Elektro
56,52,1-2,47-3013.00,Helpers--Electricians,[Teknik] Teknik Elektro
56,50,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,[Teknik] Teknik Elektro
56,50,3,49-3041.00,Farm Equipment Mechanics and Service Technicians,[Teknik] Teknik Mesin
56,50,5,29-1022.00,Oral and Maxillofacial Surgeons,[Kesehatan] Kedokteran
56,48,3,27-1026.00,Merchandise Displayers and Window Trimmers,[Seni & Kreatif] Seni Rupa
56,46,3,27-4011.00,Audio and Video Technicians,[Seni & Kreatif] Multimedia / Film
56,46,3,47-2152.04,Solar Thermal Installers and Technicians,[Teknik] Teknik Mesin
56,45,3,19-4013.00,Food Science Technicians,[Kesehatan] Laboratorium
56,45,3,19-4051.00,Nuclear Technicians,[Kesehatan] Laboratorium
56,45,3,51-5111.00,Prepress Technicians and Workers,[Teknik] Teknik Industri
56,45,5,29-1224.00,Radiologists,[Kesehatan] Kedokteran
56,43,1-2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,[Teknik] Teknik Industri
56,41,1-2,45-4021.00,Fallers,[Teknik] Teknik Industri
53,52,5,29-1021.00,"Dentists, General",[Kesehatan] Kedokteran
53,50,4,19-2031.00,Chemists,[Kesehatan] Laboratorium
53,50,3,33-2011.00,Firefighters,[Keselamatan & Transportasi] Pemadam Kebakaran
53,50,3,11-3051.06,Hydroelectric Production Managers,[Bisnis & Administrasi] Bisnis / Manajemen
